,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
532,"Very Bright 2 Beds Basement Apartment In Prime Northeast Ajax. Recently Renovated. Close To Schools, Highways And Shops.  Move In And Enjoy!.**** EXTRAS **** All Elf, Stove, Fridge(S), Washer, Dryer, A/C For Tenants To Use. Tenant To Pay All Utilities, No Smokers & Pets Please. Tenants Pay 30% Of The Total Utilities. (30005725)",2,House,"5 BELLOTTI CRES|Ajax, Ontario L1Z0M2","$1,750/Monthly",Single Family,Freehold,1
533,"Live In Neptune Condominiums In The Highly Sought After Fort York Neighbourhood At Waterpark City! Clean & Functional Furnished Studio Overlooking The Courtyard Garden With South Facing Park & Lake Views From The Private Balcony. Resort Style Amenities With 24Hr Concierge, Indoor Pool, Fully Equipped Gym, Guest Suites & More! Easy Access To Downtown Living & Across From Waterfront Parks/Trails. Ttc At Your Door & Steps To Loblaws, Shoppers, Bentway & More! A+**** EXTRAS **** Furnished. Stainless Steel Appliances (Stove, Fridge, Dishwasher, And Microwave). Stacked Washer And Dryer. (30458966)",0,Apartment,"#1458 -209 FORT YORK BLVD|Toronto, Ontario M5V4A1","$1,750/Monthly",Single Family,Condominium/Strata,
534,"Loft Style Studio W/Soaring 10 Ft Ceiling & Terrace On Ground Floor. Large Open Concept Space Offers Many Options For Your Furniture Layout. Gallery Style Kitchen W/Dark Wood Cabinets And Granite Counters. Lots Of Light W/ Full Wall Of South Facing Windows Equipped W/Roller Blinds. Spacious 4Pc Bathroom. Substantial Building Amenities Include Concierge, Exercise Room,. Meeting/Party Room, Rooftop Deck & More. Grocery, Starbucks & Transit Only Steps Away!**** EXTRAS **** Fridge, Stove, Built In Dishwasher, Built-In Microwave Hood Vent, One Piece Washer/Dryer Unit, All Electrical Light Fixtures And Roller Blinds. (30465645)",0,Apartment,"#106 -1005 KING ST W|Toronto, Ontario M6K3M8","$1,750/Monthly",Single Family,Condominium/Strata,
535,"Very Bright And Specious Self Containing Bachelor Unit. 1 Washroom, 1 Parking. Full Size Kitchen Appliances. Newly Painted, Very Clean. Rarely Available. 1 Parking Included. Conveniently Located Beside Grocery Stores, Banks And Street Plazas. Public Transit At Your Door Step.**** EXTRAS **** S/S Fridge, Stove, Hood Range Microwave, Stackable Washer/Drier, Window Covering And Light Fixtures. Kitchen Table With 2 Chairs. Shoe Rack. Tenant Pays Set Up Fee Of $150 Per Month. (30457387)",0,Apartment,"#5 -3215 THOMAS ST|Mississauga, Ontario L5M0M1","$1,750/Monthly",Single Family,Condominium/Strata,
536,"Lovely Prof Finished, Bright & Open Concept Basement Apartment With It's Own Private Entrance At The Front Of The Home. Perfect For The Single Professional! All Work Done In 2018!! You Don't See Many Basement Apartments Finished To This Quality! Aaa Tenant's Only. Spacious Eat-In Kitchen With Designer White Cabinets And Stainless Steel Appliances. Large Family/Living Rm. Pot Lights! High Quality Laminate Floors. Stunning Bathroom Features A Custom W/I Shower. Private Laundry On The Lower Level With Stackable Lg Washer/Dryer.**** EXTRAS **** Included In Rent Is Hydro, Heating, Internet, Water & Parking For 1 Car. Aaa Tenant's Only. Job Letter, Credit Check, Tenant Application With Offers. No Smokers Or Pets. (30336619)",1,House,"#BSMNT -3001 KEYNES CRES|Mississauga, Ontario L5N2Z9","$1,750/Monthly",Single Family,Freehold,1
537,"Welcome to Rockwood! This Modern, Bright & Spactious lower basement unit is available for $1750 monthly! This 2 Bedroom apartment has its own separate entrance, electrical panel, and own Laundry. Parking for this unit is in the Visitor Parking located right by the house. Located in front of a Go Bus stop, and within walking distance to Shops, Schools, and a Library. Available August 1st.  The lower tenant will need to shovel their own walkway to side entrance. No smoking in Unit and No Pets as per allergies. Letter of Employment, Recent Paystub, References, Credit Check, and Rental Application required. (65002960)",0 + 2,House,"515 MAIN STREET SOUTH Street Unit# 1|Rockwood, Ontario N0B2K0","$1,750/Monthly",Single Family,Condominium,2
538,"Prime Location! Brand New, Never Lived In Apartment. This Unit Offers 9 ft Ceilings, 1 Bedroom, 1 Bath in the Heart of Hamilton. The Unit Includes One Large Locker. Modern Kitchen with Stainless Steel Appliances. Steps to Public Transit, Main Street, Restaurants, Shops and Hospital. Be The First Person To Live In This Beautiful Unit. (28783594)",1,Apartment,"1 36 Grant Avenue|Hamilton, Ontario L8N2X5","$1,750/Monthly",Single Family,Freehold,0
539,"Prime Location! Brand New, Never Lived In Apartment. This Unit Offers 9 ft Ceilings, 1 Bedroom, 1 Bath in the Heart of Hamilton. The Unit Includes One Large Locker. Modern Kitchen with Stainless Steel Appliances. Steps to Public Transit, Main Street, Restaurants, Shops and Hospital. Be The First Person To Live In This Beautiful Unit. (28783591)",1,Apartment,"3 36 Grant Avenue|Hamilton, Ontario L8N2X5","$1,750/Monthly",Single Family,Freehold,0
540,"Very Bright 2 Beds Basement Apartment In Prime Northeast Ajax. Recently Renovated. Close To Schools, Highways And Shops.  Move In And Enjoy!.**** EXTRAS **** All Elf, Stove, Fridge(S), Washer, Dryer, A/C For Tenants To Use. Tenant To Pay All Utilities, No Smokers & Pets Please. Tenants Pay 30% Of The Total Utilities. (30005725)",2,House,"5 BELLOTTI CRES|Ajax, Ontario L1Z0M2","$1,750/Monthly",Single Family,Freehold,1
541,"Amazing 1 Bedroom 1 Bathroom Basement For Lease In The Marvelous Cornell Community. No Separate Entrance, However, Basement Door Is Accessible Immediately From The Main Entrance. Parking For One Provided. Open Concept Kitchen & Living/Dining Area, Granite Counter Top. Laundry And Dryer Provided. Minutes From Markham Stoufville Hospital, Future Transportation Station, Close To Schools, Parks, Public Transit, And Stores.**** EXTRAS **** Fridge, Stove, Exhaust Fan, Washer/Dryer, All Electric Light Fixtures, No Pet & Non Smoker, 1 Parking Included (30042069)",1,House,"#BSMNT -34 WILDMOOR ST|Markham, Ontario L6B0N9","$1,750/Monthly",Single Family,Freehold,
542,"Unbeatable Maple Grove Lower Level 2 Bedroom 1 Bathroom Unit In Prestigious Executive Neighbourhood. Over Sized Open Concept Living/Dining Area With Bright And Modern Eat In Kitchen. Easy To Maintain Ceramic Flooring In Common Areas, While The 2 Spacious Bedrooms (One With Walk-In Closet) Boast Warm And Comforting Carpet! Full Size Private Laundry On Site. Steps To Public Transit, Close To Public School, And A Short Drive To Hwy 401.**** EXTRAS **** Tenant To Pay 30% Of Heat Hydro & Water. No Pets & No Smoking (30164924)",2,Other,"#LOWER -39 KIMBLE AVE|Clarington, Ontario L1C0J7","$1,750/Monthly",Single Family,,
543,"Lots Of Room And Space In This Lovely 2 Bedroom Basement-Apartment. Enjoy Your Own Private Entrance, Own Laundry, Parking, Kitchen.**** EXTRAS **** Absolutely No Pets, No Smokers, Must Send Fill Rental Application With Job, Pay Stub, Credit Report. Unit Is Vacant & Ready To Go! Utilities 1/3 Of Monthly Costs. (30398749)",2,House,"#BSMT -84 CARTER DR|Brampton, Ontario L6V3N5","$1,750/Monthly",Single Family,Freehold,1
544,"A Legal Basement In Semi Detach House In High Demand Area Hwy 50/Clarkway Dr Is Available For Lease Immediately. One Bedroom,1 Washroom,Kitchen, Laundry And Living Space With Separate Entrance. Specious Basement With Excellent Layout. Upgraded Kitchen . Walking Distance From Schools. Close To Hwy 427,Hwy 50 & Transit.**** EXTRAS **** All Existing Light Fixtures, Fridge, Stove, Dryer, Washer Available For Tenant's Use. One Parking On The Driveway. Tenants To Pay 30% Utilities, Aaa Clients Only. (30389985)",1,House,"#BSMT -11 VALERIAN ST|Brampton, Ontario L6P3N9","$1,750/Monthly",Single Family,Freehold,1
545,"Freshly Painted. Fabulous Upper Floor Apartment. Huge Living/Dining Room, 2 Bedrooms & Separate Kitchen. Fantastic Location Downtown Whitby! Steps To Transit, Mall, Restaurants, Parks. Minutes To Hwy 401 & Go Train. Clean And Bright.**** EXTRAS **** Fridge, Stove, Range Hood, Washer & Dryer. (30252208)",2,Other,"##2 -105 BROCK ST S|Whitby, Ontario L1N4J9","$1,750/Monthly",Single Family,,
546,"Ground Floor Unit - 2 Bedrooms | 1 Washroom | Large Kitchen Area | Large Kitchen Area Eat-In Area | $1750 Plus 40% Of Utilities | 1 Parking Spot | Access To Backyard |**** EXTRAS **** Fridge, Stove, Shared Washer & Dryer (30327646)",2,House,"163 CABANA DR|Toronto, Ontario M9L1L2","$1,750/Monthly",Single Family,Freehold,1
547,"Rarely-Offered Stunning Home In The Heart Of Prestigious Yonge & Eglinton. Spacious 1-Bedroom Unit. W/Full4-Pc Bathroom, Private Entrance, & Exceptional Natural Lighting From Windows. Beautifully Designed Open-Concept Living Area. Naturally-Lit Full Kitchen With Breakfast Bar, True Toronto Living In The Epicenter Of Midtown Toronto; Quiet & Picturesque Family-Oriented Neighbourhood Steps From An Abundance Of World Class Shops, Restaurants, & Services. Hydro, Water, Heat Included In Price.**** EXTRAS **** Rec Centre, Eg Park, Ttc Across The Street ; Quick Access To Allen Rd & Hwy 401/400. Parking & Locker Available Separately. No Pets As Resident's Allergic/Medical Condition. (30343617)",1,House,"#A -485 ORIOLE PKWY|Toronto, Ontario M5P2H9","$1,750/Monthly",Single Family,Freehold,
548,"1 Year Old Walkout Basement Apartment With 1 Bedroom And Den And Leaving Area. Full Size Kitchen. Over 25 Portlights Thorough Out The Basement Apartment ,  Main Bedroom Features Large Above Grade Window Overlooking Backyard Allowing For Plenty Of Natural Light.**** Extras **** Fridge, Stove, Washer And Dryer  Parking For 2 Cars Tandem On Private Drive. Tenant Responsible For 30% Of Utilities Servicing Property.**** EXTRAS **** *** Extras **** Fridge, Stove, Washer And Dryer (30437883)",1,House,"59 FRANK KELLY DR|East Gwillimbury, Ontario L9N0V2","$1,750/Monthly",Single Family,Freehold,
549,"Very S.P.A.C.I.O.U.S Two Bed Room Basement Apartment With Updated Full Bath In The Most Prime Location Of Mississauga. Beautiful Open Concept Led Pot Lights Large Bedroom Huge Living Room, Walking Distance To School Transit Shopping Plaza And Banks Separate Entrance And One Car Parking Spot On Driveway. Don't Miss This One, Book Your Showing Now...!!!**** EXTRAS **** Fridge, Stove, Washer & Dryer, Rental Application, Pay Stubs. Credit Report, Employ. Letter, Tenant Insurance Is Required No Pets/No Smoking. L.O.C.A.T.I.O.N Next To N.O.N.E. (30349879)",2,House,"#BSMT -3645 INDIGO CRES|Mississauga, Ontario L5N7J1","$1,755/Monthly",Single Family,Freehold,
550,"Welcome To Professionally Managed 1 Br, 1 Bath Unit Located In The Highly Desirable Upper Beaches Neighborhood. Featuring Modern Kitchen With Hardwood Floors, Spa Style Bath And Open Concept Living Room With Walk Out To Shared Backyard. Close To Parks, School, Ttc, The Beaches And More. A Must See!**** EXTRAS **** **Appliances: Fridge, Stove, Dishwasher, Washer & Dryer ** Utilities: Heat And Water Included, Hydro Extra. ** (30396027)",1,House,"#BSMT -153 GAINSBOROUGH RD|Toronto, Ontario M4L3C3","$1,775/Monthly",Single Family,Freehold,
551,"Very Spacious 9"""" Ceiling One Bdrm One Living Rm Bsmt Apmt With A Private Mini Garden & A Gym, A Mini Kitchen, Fireplace. Quiet & Upscale Willowdale E Neighborhood. Great Schools: Finch Ps, Cummer Valley, Earl Haig Ss. Partially Furnished, 1/3 Shared Utilities, Shared Laundry On Main Floor. No Pet. No Smoker.**** EXTRAS **** Includes: Cooktop, Fridge, Microwave, Shared Washer/Dryer. (30439947)",1,House,"#BSMT -339 BYNG AVE|Toronto, Ontario M2N4Y9","$1,780/Monthly",Single Family,Freehold,1
552,"Newly Completed Legal Basement Apartment Ideal For Single Professional. Never Lived In, Be The First To Enjoy The Great Area Which Is Walking Distance To Many Retail Shops. A Short Drive To Mt. Pleasant Go Station. One Parking Spot.**** EXTRAS **** Fridge, Stove, Washer And Dryer. Tenant To Pay Their Proportional Share Of Utilities. (30390164)",1,House,"39 VENZA CRT|Brampton, Ontario L6X5K4","$1,790/Monthly",Single Family,Freehold,
553,"Stunning W/O Apartment Facing Backyard And Ravine, Located In Quite Court In Mill Pond Community-Modern Kitchen With Island Very Bright, Lots Of Large Windows, Lots Of Pot Lights, Large Bedroom With Closets And Own Laundry**** EXTRAS **** Stainless Steel Fridge, Gas Stove, Microwave, Washer And Dryer. (30352992)",1,House,"#LOWER -19 MARINUCCI CRT|Richmond Hill, Ontario L4C0M3","$1,790/Monthly",Single Family,Freehold,1
554,"Beautiful apartment located in the sought after Durand neighborhood! Situated just steps from all of the trendy cafes and boutiques Locke Street has to offer. There are no shortage of fantastic parks in the area including Durand Park and AAA! This spacious unit boasts a beautiful kitchen featuring white cabinetry, stone countertops and stainless steel appliances including a dishwasher. The flooring throughout is gorgeous and the unit receives no shortage of natural light. Added features include a new in-suite washer and dryer, and central air conditioning. The bedroom offers two spacious closets and a sunroom style seating area. Tenant to pay hydro, heat and water are included. Book your tour today! (28873947)",1,House,"3 123 Robinson Street|Hamilton, Ontario L8P1Z3","$1,795/Monthly",Single Family,Freehold,0
555,"Adult 55+ 1 Bedroom Model 1C W/ Balcony, Edgewood Suites Adult Lifestyle Apartments The Heart Of Dundalk. Other Units Also Available Studio Rentals, One Bed Or Two Bedroom Units., Include Building Amenities, Card Room, Rec Room, Multipurpose Room, Concierge Service, Library, Faith Room, Open Dining Area, Guest Suite, Lockers, Bbq Gazebo Cable/Internet Packages Available**** EXTRAS **** Extra: Hydo, Gas & Water $99.00 /Mth, Required: Deposit: First & Last, Plus Damage Deposit & Application Fee ,Tenant Insurance Required, Is Pet Friendly W Fees Per Pet, Parking Fee Extra (Is Incl W 2 Bedroom), & Locker Fee If Locker Needed, (29527994)",1,Apartment,"#210 -270 HAGEN ST|Southgate, Ontario N0C1B0","$1,795/Monthly",Single Family,Condominium/Strata,
556,"Adult 55+ 1 Bed with Balcony on 2nd Floor, Edgewood Suites Adult Lifestyle Apartments the heart of Dundalk. Choose studio rentals, one bedroom or two bedroom units., Building amenities, card room, rec room, multipurpose room, concierge service, library, faith room, open dining area, guest suite, lockers, BBQ Gazebo Cable/Internet package available. Extra: Locker $50/Mth, Parking Spot To Rent: $25 Each/Mth, Hydo, Gas & Water $99.00 /Mth, Deposit: First & Last, Damage Deposit, Application Fee $100/Per Adult, Tenant Insurance Will Be Required, Pet Friendly $25/Month Per Cat, $35 /Month Per Dog (64238368)",1 + 0,Apartment,"270 HAGAN Street Unit# 210|Dundalk, Ontario N0C1B0","$1,795/Monthly",Single Family,Condominium,
557,"Beautiful 2 Bedroom 1 Washroom Basement !  Open Concept Kitchen, Separate Entrance. Ensuite Laundry. Freshly Painted. Good Sized Bedrooms & Living Area. 1 Parking Spot Included. Border Of Mississauga & Brampton Close To Sheridan College & Shoppers World,Transit Stops , Schools And Groceries. Tenant Pays 30% Of Utilities  (Hydro, Gas,Water) Tenant Insurance Required**** EXTRAS **** Fridge, Stove, Washer , Dryer. (30452944)",2,House,"3 SCARLETT DR|Brampton, Ontario L6Y3S9","$1,799/Monthly",Single Family,Freehold,
558,"Basement Apartment 2 Bedroom, 1 Bathroom. Oversized Windows, Custom Kitchen With Quartz Countertops And Stainless Steel Appliances, Loads Of Natural Light And Storage. Close Shopping, Public Transit, 401& 412 Parks & Schools! And More. The Tenant Will Pay 30% Of All Utilities.**** EXTRAS **** Basement Apartment 2 Bedroom, 1 Bathroom. Oversized Windows, Custom Kitchen With Quartz Countertops And Stainless Steel Appliances, Loads Of Natural Light And Storage. Close Shopping, Public Transit, 401& 412 Parks & Schools! And More. (30334938)",2,Other,"17 WHITEFISH ST|Whitby, Ontario L1P0K5","$1,799/Monthly",Single Family,,
559,"Beautiful Newly Renovated 2- Bedroom Basement Is Ready For You. Very Good Location. All Amenities Is Close. There Are Two Elementary School Close By. New Fridge, Stove. Good Looking Washroom. Nice Neighborhood Minutes From Markville Mall, Pacific Mall And Supermarkets, Community Center.**** EXTRAS **** Fridge, Stove, Washer (Share) Dryer (Share), Tenant Pay 40% For All Utilities. Laundry Shared. One Car Parking.  No Smoking. (30266376)",2,House,"#BSMT -43 PAGE CRES|Markham, Ontario L3S1W2","$1,799/Monthly",Single Family,Freehold,
560,"Freshly Renovated Legal 2 Bedroom, 1 Bath Basement Apartment Located In The Lakeview Community Of Oshawa And Ready For New Occupants. This Home Is A Short Bike Ride To The Waterfront Trail And Lakeview Park. Conveniently Located A Quick Drive To The Oshawa Go Station. Upper Floor Leased Separately.  Tenant To Pay Own Hydro, 40% Of Gas & 40% Of Water/Sewage**** EXTRAS **** Includes The Use Of The Current Appliances (Fridge, Stove, Washer, Dryer) And Elf's (30281247)",2,House,"#LOWER -379 SHARON AVE|Oshawa, Ontario L1H3S9","$1,800/Monthly",Single Family,Freehold,
